University;scores_overall_rank;scores_teaching_rank;scores_research_rank;scores_citations_rank;scores_industry_income_rank;scores_international_outlook_rank;record_type;member_level;url;nid;location;stats_number_students;stats_student_staff_ratio;stats_pc_intl_students;stats_female_male_ratio;aliases;subjects_offered;closed;unaccredited;disabled
Newcastle University;1720;387;234;61;385;112;master_account;11;/world-university-rankings/newcastle-university;610;United Kingdom;25.650;14,8;26%;53:47:00;Newcastle University;Computer Science,Physics & Astronomy,Business & Management,Architecture,Other Health,Mathematics & Statistics,Psychology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Accounting & Finance,History, Philosophy & Theology,Sport Science,Education,Archaeology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Agriculture & Forestry,Geography,Economics & Econometrics,Biological Sciences,Law,Art, Performing Arts & Design,Chemical Engineering,Sociology,Veterinary Science,General Engineering,Chemistry,Politics & International Studies (incl Development Studies),Civil Engineering;False;False;False
Durham University;1740;231;194;245;534;32;master_account;0;/world-university-rankings/durham-university;547;United Kingdom;19.575;14;32%;54:46:00;Durham University united kingdom UK  England;Civil Engineering,Sociology,Communication & Media Studies,Art, Performing Arts & Design,Archaeology,Mechanical & Aerospace Engineering,Geography,Physics & Astronomy,Economics & Econometrics,Education,History, Philosophy & Theology,General Engineering,Business & Management,Sport Science,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,Law,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Other Health,Chemistry,Architecture,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies);False;False;False
Osaka University;1750;67;65;1008;20;773;master_account;0;/world-university-rankings/osaka-university;583;Japan;22.274;10,4;10%;32 : 68;Osaka University Handai OU;Archaeology,Mathematics & Statistics,General Engineering,Communication & Media Studies,Education,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Physics & Astronomy,Economics & Econometrics,Computer Science,Biological Sciences,Business & Management,History, Philosophy & Theology,Chemistry,Accounting & Finance,Other Health,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Chemical Engineering,Geography,Languages, Literature & Linguistics,Civil Engineering,Law,Psychology;False;False;False
University of Ottawa;1790;320;174;226;261;169;master_account;11;/world-university-rankings/university-ottawa;649;Canada;38.366;27,2;26%;59:41:00;University of Ottawa;Other Health,Chemistry,Sociology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Psychology,Languages, Literature & Linguistics,Education,Civil Engineering,Geography,Chemical Engineering,Biological Sciences,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Electrical & Electronic Engineering,Computer Science,Law,Mathematics & Statistics,Mechanical & Aerospace Engineering,Accounting & Finance,Physics & Astronomy,Economics & Econometrics,History, Philosophy & Theology,Sport Science;False;False;False
Sapienza University of Rome;1810;108;157;371;202;917;master_account;0;/world-university-rankings/sapienza-university-rome;800;Italy;60.522;22,2;9%;61:39:00;Sapienza University of Rome;History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,Education,Art, Performing Arts & Design,Chemical Engineering,Law,Computer Science,Physics & Astronomy,Business & Management,Architecture,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Biological Sciences,Sociology,Mechanical & Aerospace Engineering,Psychology,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Archaeology,General Engineering,Chemistry,Accounting & Finance;False;False;False
University of Geneva;1830;266;287;179;254;20;master_account;0;/world-university-rankings/university-geneva;594;Switzerland;18.865;8,4;40%;62:38:00;University of Geneva;Computer Science,Geography,Chemistry,Biological Sciences,Psychology,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,Archaeology,Sociology,History, Philosophy & Theology,Mathematics & Statistics,Law,Sport Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Communication & Media Studies,Accounting & Finance;False;False;False
University of Twente;1840;236;179;438;55;79;master_account;0;/world-university-rankings/university-twente;664;Netherlands;9.964;13,9;38%;37 : 63;University of Twente;Law,Chemical Engineering,Sport Science,Computer Science,Biological Sciences,History, Philosophy & Theology,Sociology,Business & Management,Mathematics & Statistics,Civil Engineering,Psychology,Accounting & Finance,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Mechanical & Aerospace Engineering,Other Health,Geography,Agriculture & Forestry,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemistry,Education;False;False;False
Tongji University;1860;136;120;569;204;437;master_account;0;/world-university-rankings/tongji-university;984;China;31.632;11,3;15%;41:59:00;Tongji University;Art, Performing Arts & Design,Electrical & Electronic Engineering,Civil Engineering,Other Health,Agriculture & Forestry,History, Philosophy & Theology,Sport Science,Chemical Engineering,General Engineering,Medicine & Dentistry,Mathematics & Statistics,Sociology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Geography,Economics & Econometrics,Psychology,Computer Science,Mechanical & Aerospace Engineering,Chemistry,Architecture,Business & Management,Law,Biological Sciences,Physics & Astronomy,Communication & Media Studies,Languages, Literature & Linguistics,Education,Veterinary Science,Accounting & Finance;False;False;False
Georgetown University;1870;114;304;209;144;705;private;0;/world-university-rankings/georgetown-university;602;United States;17.508;10,1;18%;55:45:00;Georgetown University;Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Communication & Media Studies,Accounting & Finance,Mathematics & Statistics,General Engineering,Law,Languages, Literature & Linguistics,Biological Sciences,Education,History, Philosophy & Theology,Sport Science,Psychology,Architecture,Chemistry,Computer Science,Sociology,Medicine & Dentistry,Physics & Astronomy,Business & Management;False;False;False
Chalmers University of Technology;1890;247;172;333;95;348;master_account;0;/world-university-rankings/chalmers-university-technology;695;Sweden;10.103;15,4;17%;32 : 68;Chalmers University of Technology;Economics & Econometrics,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Civil Engineering,Education,Chemical Engineering,Electrical & Electronic Engineering,Computer Science,Mathematics & Statistics,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Architecture,Business & Management,Physics & Astronomy,Sport Science,Biological Sciences;False;False;False
Cardiff University;1900;444;252;94;419;92;master_account;11;/world-university-rankings/cardiff-university;671;United Kingdom;28.815;15;27%;58:42:00;Cardiff University;Communication & Media Studies,Mathematics & Statistics,Architecture,History, Philosophy & Theology,Economics & Econometrics,Computer Science,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Sociology,Civil Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Law,Other Health,Archaeology,Business & Management,Education,Electrical & Electronic Engineering,Geography,General Engineering,Chemical Engineering,Politics & International Studies (incl Development Studies),Physics & Astronomy,Mechanical & Aerospace Engineering,Accounting & Finance,Psychology,Art, Performing Arts & Design;False;False;False
Tufts University;1920;122;350;164;392;525;private;0;/world-university-rankings/tufts-university;542;United States;11.611;10,5;16%;57:43:00;Tufts University;Computer Science,History, Philosophy & Theology,Architecture,Medicine & Dentistry,Veterinary Science,Civil Engineering,Sociology,Other Health,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Mathematics & Statistics,Archaeology,Politics & International Studies (incl Development Studies),Economics & Econometrics,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Electrical & Electronic Engineering,Chemistry,Psychology,Chemical Engineering,Law,Communication & Media Studies,Geography;False;False;False
University of St Andrews;1960;192;218;377;575;34;master_account;0;/world-university-rankings/university-st-andrews;549;United Kingdom;10.325;12,4;46%;58:42:00;University of St Andrews;Chemistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Archaeology,Psychology,Other Health,Geography,Languages, Literature & Linguistics,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management,History, Philosophy & Theology,Communication & Media Studies;False;False;False
Ulm University;1970;292;233;156;56;518;master_account;0;/world-university-rankings/ulm-university;687;Germany;10.301;26,4;13%;51:49:00;Ulm University;Other Health,Electrical & Electronic Engineering,Computer Science,Chemical Engineering,Psychology,Sport Science,Biological Sciences,Chemistry,Education,Medicine & Dentistry,Mathematics & Statistics,Physics & Astronomy;False;False;False
University of Notre Dame;1990;118;215;414;372;409;private;0;/world-university-rankings/university-notre-dame;553;United States;12.576;10,9;12%;47:53:00;University of Notre Dame;Civil Engineering,Psychology,Biological Sciences,Law,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Education,Communication & Media Studies,Art, Performing Arts & Design,Physics & Astronomy,Accounting & Finance,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology,Architecture,Chemistry,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,General Engineering;False;False;False
Aalto University;2030;262;208;326;184;224;master_account;0;/world-university-rankings/aalto-university;767;Finland;14.427;20,4;23%;39 : 61;Aalto University;Electrical & Electronic Engineering,Art, Performing Arts & Design,Education,Business & Management,Computer Science,Communication & Media Studies,Accounting & Finance,Chemistry,Mathematics & Statistics,Physics & Astronomy,Architecture,Economics & Econometrics,Psychology,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering;False;False;False
University of Aberdeen;2040;414;328;286;277;12;master_account;0;/world-university-rankings/university-aberdeen;615;United Kingdom;12.755;15,3;40%;58:42:00;University of Aberdeen;Education,History, Philosophy & Theology,Physics & Astronomy,Mathematics & Statistics,Geography,Art, Performing Arts & Design,Business & Management,Medicine & Dentistry,Sport Science,Other Health,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Computer Science,Chemistry,Accounting & Finance,Biological Sciences,Law,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,General Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Archaeology,Civil Engineering,Psychology;False;False;False
University of Calgary;2070;409;229;288;175;186;master_account;0;/world-university-rankings/university-calgary;693;Canada;34.012;18,8;24%;54:46:00;University of Calgary;Architecture,Art, Performing Arts & Design,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Sociology,Archaeology,Languages, Literature & Linguistics,Physics & Astronomy,Medicine & Dentistry,History, Philosophy & Theology,Biological Sciences,General Engineering,Communication & Media Studies,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Mechanical & Aerospace Engineering,Geography,Business & Management,Chemistry,Sport Science,Computer Science,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,Chemical Engineering,Law,Education,Other Health;False;False;False
University of California, Santa Cruz;2080;465;251;70;363;280;public;0;/world-university-rankings/university-california-santa-cruz;574;United States;19.154;24,2;12%;47:53:00;University of California, Santa Cruz;Art, Performing Arts & Design,Electrical & Electronic Engineering,Other Health,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Computer Science,Biological Sciences,Economics & Econometrics,Education,Business & Management,Psychology,Mathematics & Statistics,Communication & Media Studies,Archaeology,Agriculture & Forestry,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry;False;False;False
Curtin University;2090;677;315;162;279;53;master_account;6;/world-university-rankings/curtin-university;821;Australia;29.283;20,8;29%;53:47:00;Curtin University Curtin;Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,History, Philosophy & Theology,Sport Science,Education,Medicine & Dentistry,Agriculture & Forestry,Law,Chemical Engineering,Politics & International Studies (incl Development Studies),Architecture,Mathematics & Statistics,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Biological Sciences,Sociology,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Art, Performing Arts & Design,General Engineering,Geography;False;False;False
George Washington University;2110;155;329;191;492;462;private;0;/world-university-rankings/george-washington-university;600;United States;22.211;13;14%;62:38:00;George Washington University;Geography,Chemistry,Mathematics & Statistics,Medicine & Dentistry,Computer Science,Education,Economics & Econometrics,Psychology,Sport Science,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Archaeology,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design,Communication & Media Studies,Civil Engineering,Business & Management,Electrical & Electronic Engineering,Law,Accounting & Finance,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sociology,Biological Sciences,Languages, Literature & Linguistics;False;False;False
Indian Institute of Science;2160;65;94;918;105;1460;master_account;0;/world-university-rankings/indian-institute-science;926;India;4.495;9,6;1%;27 : 73;Indian Institute of Science;Chemistry,Computer Science,Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences;False;False;False
University of Iowa;2170;186;305;324;177;664;public;0;/world-university-rankings/university-iowa;606;United States;28.583;10,9;6%;55:45:00;University of Iowa;Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Sport Science,Sociology,Biological Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Physics & Astronomy,Law,Other Health,Chemical Engineering,Archaeology,Chemistry,Business & Management,History, Philosophy & Theology,Psychology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Education,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,General Engineering,Art, Performing Arts & Design,Computer Science,Geography;False;False;False
University of Leicester;2200;527;372;44;482;46;master_account;0;/world-university-rankings/university-leicester;662;United Kingdom;14.000;13,9;31%;54:46:00;University of Leicester uk united kingdom leicester;Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Law,Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Economics & Econometrics,Other Health,Civil Engineering,Chemistry,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,History, Philosophy & Theology,Sport Science,Accounting & Finance,Medicine & Dentistry,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Veterinary Science,Geography,Archaeology,Biological Sciences;False;False;False
University of Miami;2250;153;357;252;258;439;private;0;/world-university-rankings/university-miami;636;United States;17.060;10,4;14%;54:46:00;University of Miami;Languages, Literature & Linguistics,Other Health,Sociology,Mechanical & Aerospace Engineering,Law,Psychology,General Engineering,Communication & Media Studies,Mathematics & Statistics,Education,Architecture,Biological Sciences,Agriculture & Forestry,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Geography,Accounting & Finance,Medicine & Dentistry,Chemistry,Business & Management,Civil Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering;False;False;False
Nagoya University;2270;97;107;907;60;1057;master_account;0;/world-university-rankings/nagoya-university;679;Japan;15.224;13;12%;30 : 70;Nagoya University;Architecture,Electrical & Electronic Engineering,Psychology,Agriculture & Forestry,Geography,Other Health,Communication & Media Studies,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Physics & Astronomy,Biological Sciences,Education,Civil Engineering,Law,Archaeology,Computer Science,Mathematics & Statistics,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Chemistry,Business & Management,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Sport Science,Politics & International Studies (incl Development Studies);False;False;False
Politecnico di Milano;2310;243;141;510;115;479;master_account;11;/world-university-rankings/politecnico-di-milano;797;Italy;38.978;25,7;19%;35 : 65;Politecnico di Milano;Civil Engineering,Business & Management,Electrical & Electronic Engineering,Architecture,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Computer Science,Chemical Engineering,General Engineering;False;False;False
University of Reading;2350;379;242;233;412;41;master_account;0;/world-university-rankings/university-reading;628;United Kingdom;15.945;16,6;31%;55:45:00;University of Reading;Other Health,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Education,Biological Sciences,Physics & Astronomy,Computer Science,Geography,History, Philosophy & Theology,Agriculture & Forestry,Psychology,Languages, Literature & Linguistics,Veterinary Science,Business & Management,Archaeology,Law,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Chemistry,Communication & Media Studies;False;False;False
Sun Yat-sen University;2400;180;255;256;194;1146;master_account;0;/world-university-rankings/sun-yat-sen-university;760;China;61.453;15,2;5%;48:52:00;Sun Yat-sen University;Languages, Literature & Linguistics,Accounting & Finance,Geography,Agriculture & Forestry,History, Philosophy & Theology,Biological Sciences,Other Health,Education,Architecture,Chemical Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Sociology,Medicine & Dentistry,Veterinary Science,Art, Performing Arts & Design,Law,Civil Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Economics & Econometrics,Physics & Astronomy,Electrical & Electronic Engineering,Business & Management,Chemistry,General Engineering,Sport Science,Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science;False;False;False
University of Sussex;2410;712;333;83;526;43;master_account;0;/world-university-rankings/university-sussex;563;United Kingdom;17.640;17,3;34%;55:45:00;University of Sussex;Sociology,Mechanical & Aerospace Engineering,Education,Computer Science,Accounting & Finance,General Engineering,Law,Geography,Biological Sciences,Medicine & Dentistry,Chemistry,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Other Health;False;False;False
Swinburne University of Technology;2420;606;379;104;331;183;master_account;0;/world-university-rankings/swinburne-university-technology;858;Australia;14.324;28,5;24%;42:58:00;Swinburne University of Technology;Physics & Astronomy,Biological Sciences,Sport Science,Mechanical & Aerospace Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Medicine & Dentistry,Sociology,Chemical Engineering,Mathematics & Statistics,Other Health,Law,Politics & International Studies (incl Development Studies),Computer Science,Electrical & Electronic Engineering,Business & Management,Communication & Media Studies,Accounting & Finance,General Engineering,Agriculture & Forestry,Psychology,Chemistry,Education,History, Philosophy & Theology,Architecture,Civil Engineering,Art, Performing Arts & Design;False;False;False
Tel Aviv University;2430;288;142;261;314;719;master_account;0;/world-university-rankings/tel-aviv-university;630;Israel;24.995;24,2;5%;57:43:00;Tel Aviv University;Languages, Literature & Linguistics,Computer Science,Archaeology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,Physics & Astronomy,Psychology,Mathematics & Statistics,Education,Business & Management,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,General Engineering,Art, Performing Arts & Design,Biological Sciences,Chemical Engineering,Agriculture & Forestry,Other Health,Politics & International Studies (incl Development Studies),Chemistry,Law,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Communication & Media Studies,Architecture,Accounting & Finance;False;False;False
Tilburg University;2450;555;190;320;234;195;master_account;6;/world-university-rankings/tilburg-university;734;Netherlands;13.225;32,2;21%;51:49:00;Tilburg University;Other Health,Economics & Econometrics,Law,Psychology,Education,Languages, Literature & Linguistics,History, Philosophy & Theology,Accounting & Finance,Sociology,Communication & Media Studies,Business & Management,Computer Science;False;False;False
University of Utah;2470;232;271;174;221;1085;public;0;/world-university-rankings/university-utah;577;United States;31.502;13,3;8%;50:50:00;University of Utah;Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,Chemical Engineering,Politics & International Studies (incl Development Studies),Sociology,Electrical & Electronic Engineering,Sport Science,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Law,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Computer Science,Biological Sciences,Accounting & Finance,Civil Engineering,Geography,Architecture,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Psychology,Agriculture & Forestry,General Engineering,Chemistry,Education;False;False;False
Western University;2490;306;212;436;57;158;master_account;6;/world-university-rankings/western-university;690;Canada;30.176;33;24%;56:44:00;Western University;Sociology,History, Philosophy & Theology,Computer Science,Languages, Literature & Linguistics,Communication & Media Studies,Economics & Econometrics,General Engineering,Mathematics & Statistics,Archaeology,Education,Medicine & Dentistry,Accounting & Finance,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Politics & International Studies (incl Development Studies),Psychology,Chemistry,Biological Sciences,Business & Management,Geography,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,Art, Performing Arts & Design,Sport Science,Civil Engineering;False;False;False
University of Wollongong;2500;398;258;239;153;104;master_account;0;/world-university-rankings/university-wollongong;740;Australia;16.328;26,1;22%;55:45:00;University of Wollongong UOW University of Wollongong Australia;Archaeology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Civil Engineering,Psychology,Economics & Econometrics,Accounting & Finance,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Geography,Law,Mechanical & Aerospace Engineering,General Engineering,Architecture,Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,Medicine & Dentistry,Education,Sociology,Sport Science,Biological Sciences,Other Health;False;False;False
University of Bath;2510;471;345;310;541;48;master_account;0;/world-university-rankings/university-bath;716;United Kingdom;15.280;15,8;31%;45:55:00;University of Bath;Electrical & Electronic Engineering,Chemical Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemistry,Sport Science,Other Health,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Civil Engineering,Biological Sciences,Business & Management,Sociology;False;False;False
University of Bergen;2530;399;381;227;445;308;master_account;0;/world-university-rankings/university-bergen;655;Norway;15.751;13;11%;61:39:00;University of Bergen;Other Health,Mathematics & Statistics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Education,History, Philosophy & Theology,Sociology,Archaeology,Geography,Computer Science,Law,Communication & Media Studies,Chemistry,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences;False;False;False
Boston College;2540;230;454;219;628;626;private;0;/world-university-rankings/boston-college;659;United States;13.156;14,9;10%;55:45:00;Boston College;Business & Management,Physics & Astronomy,Sociology,Psychology,Medicine & Dentistry,Languages, Literature & Linguistics,Art, Performing Arts & Design,Communication & Media Studies,General Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Law,Biological Sciences,Computer Science,Education,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Mathematics & Statistics,Accounting & Finance;False;False;False
Brandeis University;2550;401;507;220;561;233;private;0;/world-university-rankings/brandeis-university;614;United States;4.791;11,6;33%;59:41:00;Brandeis University;Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Education,Accounting & Finance,Mathematics & Statistics,Economics & Econometrics,Biological Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management,Art, Performing Arts & Design,Sociology,Psychology,Chemistry;False;False;False
University of California, Riverside;2560;429;336;194;415;297;public;0;/world-university-rankings/university-california-riverside;607;United States;25.670;19,6;14%;53:47:00;University of California, Riverside;Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Education,Sociology,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,History, Philosophy & Theology,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Business & Management,Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,General Engineering,Chemistry,Chemical Engineering,Psychology,Other Health;False;False;False
Deakin University;2570;785;359;101;381;180;master_account;0;/world-university-rankings/deakin-university;822;Australia;40.988;32,7;18%;60:40:00;Deakin University;Chemistry,Art, Performing Arts & Design,Sociology,Psychology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Law,Communication & Media Studies,General Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Computer Science,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Architecture,Sport Science,History, Philosophy & Theology,Business & Management,Education;False;False;False
Florida State University;2600;358;269;334;475;610;public;0;/world-university-rankings/florida-state-university;131777;United States;39.831;24,6;6%;58:42:00;Florida State University;Archaeology,Geology, Environmental, Earth & Marine Sciences,Sport Science,Biological Sciences,Medicine & Dentistry,Chemical Engineering,Accounting & Finance,Education,Communication & Media Studies,Architecture,Sociology,General Engineering,History, Philosophy & Theology,Physics & Astronomy,Law,Mathematics & Statistics,Other Health,Computer Science,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geography,Art, Performing Arts & Design,Business & Management,Chemistry,Mechanical & Aerospace Engineering,Psychology;False;False;False
Griffith University;2610;665;295;266;342;225;master_account;6;/world-university-rankings/griffith-university;825;Australia;34.770;31,6;15%;60:40:00;Griffith University;Communication & Media Studies,Medicine & Dentistry,Sociology,Geography,Business & Management,Economics & Econometrics,Architecture,Sport Science,Politics & International Studies (incl Development Studies),Law,Archaeology,Chemistry,Civil Engineering,Accounting & Finance,Biological Sciences,Mathematics & Statistics,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Psychology,Computer Science,Education,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Other Health,General Engineering;False;False;False
Khalifa University;2660;602;327;354;111;17;master_account;11;/world-university-rankings/khalifa-university;622542;United Arab Emirates;3.289;9,3;41%;58:42:00;Khalifa University;Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,General Engineering,Physics & Astronomy,Mathematics & Statistics,Medicine & Dentistry,Chemistry;False;False;False
Lappeenranta-Lahti University of Technology LUT;2700;526;308;97;545;499;master_account;11;/world-university-rankings/lappeenranta-lahti-university-technology-lut;1026;Finland;5.028;31,6;14%;34 : 66;Lappeenranta-Lahti University of Technology LUT;Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Economics & Econometrics,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Accounting & Finance,General Engineering,Physics & Astronomy,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Sociology;False;False;False
